Constituency,Const. No.,Leading Candidate,Trailing Candidate,Trailing Party,Margin,State,Leading Party
TIRUCHIRAPPALLI,24,DURAI VAIKO,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Tamil Nadu,Marumalarchi Dravida Munnetra Kazhagam
TIRUNELVELI,38,ROBERT BRUCE C,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Tamil Nadu,Indian National Congress
TIRUPPUR,18,"SUBBARAYAN, K.","ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Tamil Nadu,Communist Party of India
TIRUVALLUR,1,Sasikanth Senthil,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Tamil Nadu,Indian National Congress
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Tamil Nadu,Dravida Munnetra Kazhagam
VELLORE,8,DM KATHIR ANAND,AC SHANMUGAM,Bharatiya Janata Party,215702,Tamil Nadu,Dravida Munnetra Kazhagam
VILUPPURAM,13,RAVIKUMAR. D,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Tamil Nadu,Viduthalai Chiruthaigal Katchi
VIRUDHUNAGAR,34,MANICKAM TAGORE B,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Tamil Nadu,Indian National Congress
ARAKKONAM,7,S JAGATHRATCHAKAN,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559,Tamil Nadu,Dravida Munnetra Kazhagam
ARANI,12,THARANIVENTHAN M S,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766,Tamil Nadu,Dravida Munnetra Kazhagam
CHENNAI CENTRAL,4,DAYANIDHI MARAN,VINOJ,Bharatiya Janata Party,244689,Tamil Nadu,Dravida Munnetra Kazhagam
CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222,Tamil Nadu,Dravida Munnetra Kazhagam
CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945,Tamil Nadu,Dravida Munnetra Kazhagam
CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554,Tamil Nadu,Viduthalai Chiruthaigal Katchi
COIMBATORE,20,GANAPATHY RAJKUMAR P,ANNAMALAI K,Bharatiya Janata Party,118068,Tamil Nadu,Dravida Munnetra Kazhagam
CUDDALORE,26,M.K. VISHNUPRASAD,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896,Tamil Nadu,Indian National Congress
DHARMAPURI,10,MANI. A.,SOWMIYA ANBUMANI,Pattali Makkal Katchi,21300,Tamil Nadu,Dravida Munnetra Kazhagam
DINDIGUL,22,SACHITHANANTHAM R,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821,Tamil Nadu,Communist Party of India  (Marxist)
ERODE,17,K E PRAKASH,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566,Tamil Nadu,Dravida Munnetra Kazhagam
KALLAKURICHI,14,MALAIYARASAN D,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784,Tamil Nadu,Dravida Munnetra Kazhagam
KANCHEEPURAM,6,SELVAM. G,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473,Tamil Nadu,Dravida Munnetra Kazhagam
KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,RADHAKRISHNAN P,Bharatiya Janata Party,179907,Tamil Nadu,Indian National Congress
KARUR,23,JOTHIMANI. S,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816,Tamil Nadu,Indian National Congress
KRISHNAGIRI,9,GOPINATH K,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486,Tamil Nadu,Indian National Congress
MADURAI,32,VENKATESAN S,RAAMA SREENIVASAN,Bharatiya Janata Party,209409,Tamil Nadu,Communist Party of India  (Marxist)
MAYILADUTHURAI,28,SUDHA R,BABU P,All India Anna Dravida Munnetra Kazhagam,271183,Tamil Nadu,Indian National Congress
NAGAPATTINAM,29,SELVARAJ V,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957,Tamil Nadu,Communist Party of India
NAMAKKAL,16,MATHESWARAN V S,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112,Tamil Nadu,Dravida Munnetra Kazhagam
Adilabad,1,GODAM NAGESH,ATHRAM SUGUNA,Indian National Congress,90652,Telangana,Bharatiya Janata Party
Bhongir,14,CHAMALA KIRAN KUMAR REDDY,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,222170,Telangana,Indian National Congress
Chevella,10,KONDA VISHWESHWAR REDDY,DR GADDAM RANJITH REDDY,Indian National Congress,172897,Telangana,Bharatiya Janata Party
Hyderabad,9,ASADUDDIN OWAISI,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,338087,Telangana,All India Majlis-E-Ittehadul Muslimeen
Karimnagar,3,BANDI SANJAY KUMAR,VELCHALA RAJENDER RAO,Indian National Congress,225209,Telangana,Bharatiya Janata Party
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,467847,Telangana,Indian National Congress
Mahabubabad,16,BALRAM NAIK PORIKA,KAVITHA MALOTH,Bharat Rashtra Samithi,349165,Telangana,Indian National Congress
Mahbubnagar,11,ARUNA. D. K,CHALLA VAMSHI CHAND REDDY,Indian National Congress,4500,Telangana,Bharatiya Janata Party
Malkajgiri,7,EATALA RAJENDER,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,391475,Telangana,Bharatiya Janata Party
Medak,6,MADHAVANENI RAGHUNANDAN RAO,NEELAM MADHU,Indian National Congress,39139,Telangana,Bharatiya Janata Party
Nagarkurnool,12,DR.MALLU RAVI,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,94414,Telangana,Indian National Congress
Nalgonda,13,KUNDURU RAGHUVEER,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,559905,Telangana,Indian National Congress
Nizamabad,4,ARVIND DHARMAPURI,JEEVANREDDY THATIPARTHI,Indian National Congress,109241,Telangana,Bharatiya Janata Party
Peddapalle,2,VAMSI KRISHNA GADDAM,SRINIVAS GOMASE,Bharatiya Janata Party,131364,Telangana,Indian National Congress
Secunderabad,8,G. KISHAN REDDY,DANAM NAGENDER,Indian National Congress,49944,Telangana,Bharatiya Janata Party
Warangal,15,KADIYAM KAVYA,AROORI RAMESH,Bharatiya Janata Party,220339,Telangana,Indian National Congress
Zahirabad,5,SURESH KUMAR SHETKAR,B. B. PATIL,Bharatiya Janata Party,46188,Telangana,Indian National Congress
Tripura East,2,KRITI DEVI DEBBARMAN,RAJENDRA REANG,Communist Party of India (Marxist),486819,Tripura,Bharatiya Janata Party
Tripura West,1,BIPLAB KUMAR DEB,ASISH KUMAR SAHA,Indian National Congress,611578,Tripura,Bharatiya Janata Party
Agra,18,PROF S P SINGH BAGHEL,SURESH CHAND KARDAM,Samajwadi Party,271294,Uttar Pradesh,Bharatiya Janata Party
Akbarpur,44,DEVENDRA SINGH ALIAS BHOLE SINGH,RAJARAM PAL,Samajwadi Party,44345,Uttar Pradesh,Bharatiya Janata Party
Aligarh,15,SATISH KUMAR GAUTAM,BIJENDRA SINGH,Samajwadi Party,15647,Uttar Pradesh,Bharatiya Janata Party
Allahabad,52,UJJWAL RAMAN SINGH,NEERAJ TRIPATHI,Bharatiya Janata Party,58795,Uttar Pradesh,Indian National Congress
Ambedkar Nagar,55,LALJI VERMA,RITESH PANDEY,Bharatiya Janata Party,137247,Uttar Pradesh,Samajwadi Party
Amethi,37,KISHORI LAL,SMRITI IRANI,Bharatiya Janata Party,167196,Uttar Pradesh,Indian National Congress
Amroha,9,KANWAR SINGH TANWAR,KUNWAR DANISH ALI,Indian National Congress,28670,Uttar Pradesh,Bharatiya Janata Party
Aonla,24,NEERAJ MAURYA,DHARMENDRA KASHYAP,Bharatiya Janata Party,15969,Uttar Pradesh,Samajwadi Party
Azamgarh,69,DHARMENDRA YADAV,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,161035,Uttar Pradesh,Samajwadi Party
Badaun,23,ADITYA YADAV,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,34991,Uttar Pradesh,Samajwadi Party
Baghpat,11,DR RAJKUMAR SANGWAN,AMARPAL,Samajwadi Party,159459,Uttar Pradesh,Rashtriya Lok Dal
Baharaich,56,ANAND KUMAR,RAMESH CHANDRA,Samajwadi Party,64227,Uttar Pradesh,Bharatiya Janata Party
Ballia,72,SANATAN PANDEY,NEERAJ SHEKHAR,Bharatiya Janata Party,43384,Uttar Pradesh,Samajwadi Party
Banda,48,KRISHNA DEVI SHIVSHANKER PATEL,R. K. SINGH PATEL,Bharatiya Janata Party,71210,Uttar Pradesh,Samajwadi Party
Bansgaon,67,KAMLESH PASWAN,SADAL PRASAD,Indian National Congress,3150,Uttar Pradesh,Bharatiya Janata Party
Barabanki,53,TANUJ PUNIA,RAJRANI RAWAT,Bharatiya Janata Party,215704,Uttar Pradesh,Indian National Congress
Bareilly,25,CHHATRA PAL SINGH GANGWAR,PRAVEEN SINGH ARON,Samajwadi Party,34804,Uttar Pradesh,Bharatiya Janata Party
Basti,61,RAM PRASAD CHAUDHARY,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,100994,Uttar Pradesh,Samajwadi Party
Bhadohi,78,DR. VINOD KUMAR BIND,LALITESHPATI TRIPATHI,All India Trinamool Congress,44072,Uttar Pradesh,Bharatiya Janata Party
Bijnor,4,CHANDAN CHAUHAN,DEEPAK,Samajwadi Party,37508,Uttar Pradesh,Rashtriya Lok Dal
Bulandshahr,14,DR BHOLA SINGH,SHIVRAM,Indian National Congress,275134,Uttar Pradesh,Bharatiya Janata Party
Chandauli,76,BIRENDRA SINGH,DR. MAHENDRA NATH  PANDEY,Bharatiya Janata Party,21565,Uttar Pradesh,Samajwadi Party
Deoria,66,SHASHANK MANI,AKHILESH PRATAP SINGH,Indian National Congress,34842,Uttar Pradesh,Bharatiya Janata Party
Dhaurahra,29,ANAND BHADAURIYA,REKHA VERMA,Bharatiya Janata Party,4449,Uttar Pradesh,Samajwadi Party
Domariyaganj,60,JAGDAMBIKA PAL,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,42728,Uttar Pradesh,Bharatiya Janata Party
Etah,22,DEVESH SHAKYA,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,28052,Uttar Pradesh,Samajwadi Party
Etawah,41,JITENDRA KUMAR DOHARE,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,58419,Uttar Pradesh,Samajwadi Party
Faizabad,54,AWADHESH PRASAD,LALLU SINGH,Bharatiya Janata Party,54567,Uttar Pradesh,Samajwadi Party
Farrukhabad,40,MUKESH RAJPUT,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,2678,Uttar Pradesh,Bharatiya Janata Party
Fatehpur,49,NARESH CHANDRA UTTAM PATEL,NIRANJAN JYOTI,Bharatiya Janata Party,33199,Uttar Pradesh,Samajwadi Party
Fatehpur Sikri,19,RAJKUMAR CHAHAR,RAMNATH SINGH SIKARWAR,Indian National Congress,43405,Uttar Pradesh,Bharatiya Janata Party
Firozabad,20,AKSHAYA YADAV,VISHWADEEP SINGH,Bharatiya Janata Party,89312,Uttar Pradesh,Samajwadi Party
Gautam Buddha Nagar,13,DR. MAHESH SHARMA,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,559472,Uttar Pradesh,Bharatiya Janata Party
Ghaziabad,12,ATUL GARG,DOLLY SHARMA,Indian National Congress,336965,Uttar Pradesh,Bharatiya Janata Party
Ghazipur,75,AFZAL ANSARI,PARS NATH RAI,Bharatiya Janata Party,124861,Uttar Pradesh,Samajwadi Party
Ghosi,70,RAJEEV RAI,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,162943,Uttar Pradesh,Samajwadi Party
Gonda,59,KIRTIVARDHAN SINGH,SHREYA VERMA,Samajwadi Party,46224,Uttar Pradesh,Bharatiya Janata Party
Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,KAJAL NISHAD,Samajwadi Party,103526,Uttar Pradesh,Bharatiya Janata Party
Hamirpur,47,AJENDRA SINGH LODHI,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,2629,Uttar Pradesh,Samajwadi Party
Hardoi,31,JAI PRAKASH,USHA VERMA,Samajwadi Party,27856,Uttar Pradesh,Bharatiya Janata Party
Hathras,16,ANOOP PRADHAN BALMIKI,JASVEER VALMIKI,Samajwadi Party,247318,Uttar Pradesh,Bharatiya Janata Party
Jalaun,45,NARAYAN DAS AHIRWAR,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,53898,Uttar Pradesh,Samajwadi Party
Jaunpur,73,BABU SINGH KUSHWAHA,KRIPASHANKAR SINGH,Bharatiya Janata Party,99335,Uttar Pradesh,Samajwadi Party
Jhansi,46,ANURAG SHARMA,"PRADEEP JAIN ""ADITYA""",Indian National Congress,102614,Uttar Pradesh,Bharatiya Janata Party
Kairana,2,IQRA CHOUDHARY,PRADEEP KUMAR,Bharatiya Janata Party,69116,Uttar Pradesh,Samajwadi Party
Kaiserganj,57,KARAN BHUSHAN SINGH,BHAGAT RAM,Samajwadi Party,148843,Uttar Pradesh,Bharatiya Janata Party
Kannauj,42,AKHILESH YADAV,SUBRAT PATHAK,Bharatiya Janata Party,170922,Uttar Pradesh,Samajwadi Party
Kanpur,43,RAMESH AWASTHI,ALOK MISRA,Indian National Congress,20968,Uttar Pradesh,Bharatiya Janata Party
Kaushambi,50,PUSHPENDRA SAROJ,VINOD KUMAR SONKAR,Bharatiya Janata Party,103944,Uttar Pradesh,Samajwadi Party
Kheri,28,UTKARSH VERMA 'MADHUR',AJAY KUMAR,Bharatiya Janata Party,34329,Uttar Pradesh,Samajwadi Party
Kushi Nagar,65,VIJAY KUMAR DUBAY,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,81790,Uttar Pradesh,Bharatiya Janata Party
Lalganj,68,DAROGA PRASAD SAROJ,NEELAM SONKER,Bharatiya Janata Party,115023,Uttar Pradesh,Samajwadi Party
Lucknow,35,RAJ NATH SINGH,RAVIDAS MEHROTRA,Samajwadi Party,135159,Uttar Pradesh,Bharatiya Janata Party
Machhlishahr,74,PRIYA SAROJ,BHOLANATH (B.P. SAROJ),Bharatiya Janata Party,35850,Uttar Pradesh,Samajwadi Party
Maharajganj,63,PANKAJ CHAUDHARY,VIRENDRA CHAUDHARY,Indian National Congress,35451,Uttar Pradesh,Bharatiya Janata Party
Mainpuri,21,DIMPLE YADAV,JAYVEER SINGH,Bharatiya Janata Party,221639,Uttar Pradesh,Samajwadi Party
Mathura,17,HEMAMALINI DHARMENDRA DEOL,MUKESH DHANGAR,Indian National Congress,293407,Uttar Pradesh,Bharatiya Janata Party
Meerut,10,ARUN GOVIL,SUNITA VERMA,Samajwadi Party,10585,Uttar Pradesh,Bharatiya Janata Party
Mirzapur,79,ANUPRIYA PATEL,RAMESH CHAND BIND,Samajwadi Party,37810,Uttar Pradesh,Apna Dal (Soneylal)
Misrikh,32,ASHOK KUMAR RAWAT,SANGITA RAJVANSHI,Samajwadi Party,33406,Uttar Pradesh,Bharatiya Janata Party
Mohanlalganj,34,R.K. CHAUDHARY,KAUSHAL KISHORE,Bharatiya Janata Party,70292,Uttar Pradesh,Samajwadi Party
Moradabad,6,RUCHI VIRA,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,105762,Uttar Pradesh,Samajwadi Party
Muzaffarnagar,3,HARENDRA SINGH MALIK,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,24672,Uttar Pradesh,Samajwadi Party
Nagina,5,CHANDRASHEKHAR,OM KUMAR,Bharatiya Janata Party,151473,Uttar Pradesh,Aazad Samaj Party (Kanshi Ram)
Phulpur,51,PRAVEEN PATEL,AMAR NATH SINGH MAURYA,Samajwadi Party,4332,Uttar Pradesh,Bharatiya Janata Party
Pilibhit,26,JITIN PRASADA,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935,Uttar Pradesh,Bharatiya Janata Party
Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),SANGAM LAL GUPTA,Bharatiya Janata Party,66206,Uttar Pradesh,Samajwadi Party
Rae Bareli,36,RAHUL GANDHI,DINESH PRATAP SINGH,Bharatiya Janata Party,390030,Uttar Pradesh,Indian National Congress
Rampur,7,MOHIBBULLAH,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434,Uttar Pradesh,Samajwadi Party
Robertsganj,80,CHHOTELAL,RINKI SINGH,Apna Dal (Soneylal),129234,Uttar Pradesh,Samajwadi Party
Saharanpur,1,IMRAN MASOOD,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Uttar Pradesh,Indian National Congress
Salempur,71,RAMASHANKAR RAJBHAR,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Uttar Pradesh,Samajwadi Party
Sambhal,8,ZIA UR REHMAN,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Uttar Pradesh,Samajwadi Party
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Uttar Pradesh,Samajwadi Party
Shahjahanpur,27,ARUN KUMAR SAGAR,JYOTSNA GOND,Samajwadi Party,55379,Uttar Pradesh,Bharatiya Janata Party
Shrawasti,58,RAM SHIROMANI VERMA,SAKET MISRA,Bharatiya Janata Party,76673,Uttar Pradesh,Samajwadi Party
Sitapur,30,RAKESH RATHOR,RAJESH VERMA,Bharatiya Janata Party,89641,Uttar Pradesh,Indian National Congress
Sultanpur,38,RAMBHUAL NISHAD,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Uttar Pradesh,Samajwadi Party
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,ANNU TANDON,Samajwadi Party,35818,Uttar Pradesh,Bharatiya Janata Party
Varanasi,77,NARENDRA MODI,AJAY RAI,Indian National Congress,152513,Uttar Pradesh,Bharatiya Janata Party
Almora,3,AJAY TAMTA,PRADEEP TAMTA,Indian National Congress,234097,Uttarakhand,Bharatiya Janata Party
Garhwal,2,ANIL BALUNI,GANESH GODIYAL,Indian National Congress,163503,Uttarakhand,Bharatiya Janata Party
Haridwar,5,TRIVENDRA SINGH RAWAT,VIRENDRA RAWAT,Indian National Congress,164056,Uttarakhand,Bharatiya Janata Party
Nainital-Udhamsingh Nagar,4,AJAY BHATT,PRAKASH JOSHI,Indian National Congress,334548,Uttarakhand,Bharatiya Janata Party
Tehri Garhwal,1,MALA RAJYA LAKSHMI SHAH,JOT SINGH GUNSOLA,Indian National Congress,272493,Uttarakhand,Bharatiya Janata Party
Alipurduars,2,MANOJ TIGGA,PRAKASH CHIK BARAIK,All India Trinamool Congress,75447,West Bengal,Bharatiya Janata Party
Arambagh,29,BAG MITALI,ARUP KANTI DIGAR,Bharatiya Janata Party,6399,West Bengal,All India Trinamool Congress
Asansol,40,SHATRUGHAN PRASAD SINHA,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,59564,West Bengal,All India Trinamool Congress
Baharampur,10,PATHAN YUSUF,ADHIR RANJAN CHOWDHURY,Indian National Congress,85022,West Bengal,All India Trinamool Congress
Balurghat,6,SUKANTA MAJUMDAR,BIPLAB MITRA,All India Trinamool Congress,10386,West Bengal,Bharatiya Janata Party
Bangaon,14,SHANTANU THAKUR,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,73693,West Bengal,Bharatiya Janata Party
Bankura,36,ARUP CHAKRABORTY,DR. SUBHAS SARKAR,Bharatiya Janata Party,32778,West Bengal,All India Trinamool Congress
Barasat,17,KAKOLI GHOSH DASTIDAR,SWAPAN MAJUMDER,Bharatiya Janata Party,114189,West Bengal,All India Trinamool Congress
Bardhaman Purba,38,DR. SHARMILA SARKAR,ASIM KUMAR SARKAR,Bharatiya Janata Party,160572,West Bengal,All India Trinamool Congress
Bardhaman-Durgapur,39,AZAD KIRTI JHA,DILIP GHOSH,Bharatiya Janata Party,137981,West Bengal,All India Trinamool Congress
Barrackpur,15,PARTHA BHOWMICK,ARJUN SINGH,Bharatiya Janata Party,64438,West Bengal,All India Trinamool Congress
Basirhat,18,SK NURUL ISLAM,REKHA PATRA,Bharatiya Janata Party,333547,West Bengal,All India Trinamool Congress
