Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Maharajganj,19,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,AAKASH KUMAR SINGH,Indian National Congress,102651,Bihar
Munger,28,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),KUMARI ANITA,Rashtriya Janata Dal,80870,Bihar
Muzaffarpur,15,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927,Bihar
Nalanda,29,KAUSHALENDRA KUMAR,Janata Dal  (United),DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),169114,Bihar
Nawada,39,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670,Bihar
Paschim Champaran,2,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568,Bihar
Patliputra,31,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174,Bihar
Patna Sahib,30,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846,Bihar
Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal  (United),23847,Bihar
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287,Bihar
Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Bihar
Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Bihar
Sasaram,34,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Bihar
Sheohar,4,LOVELY ANAND,Janata Dal  (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Bihar
Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal  (United),ARJUN RAY,Rashtriya Janata Dal,51356,Bihar
Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal  (United),HENA SHAHAB,Independent,92857,Bihar
Supaul,8,DILESHWAR KAMAIT,Janata Dal  (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Bihar
Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Bihar
Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Bihar
Valmiki Nagar,1,SUNIL KUMAR,Janata Dal  (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Bihar
