Constituency,Const. No.,Leading Candidate,Trailing Candidate,Trailing Party,Margin,State,Leading Party
Koppal,8,K. RAJASHEKAR BASAVARAJ HITNAL,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,46357,Karnataka,Indian National Congress
Mandya,20,H.D. KUMARASWAMY,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,284620,Karnataka,Janata Dal  (Secular)
Mysore,21,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,M. LAKSHMANA,Indian National Congress,139262,Karnataka,Bharatiya Janata Party
Raichur,6,G. KUMAR NAIK.,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Karnataka,Indian National Congress
Shimoga,14,B.Y.RAGHAVENDRA,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Karnataka,Bharatiya Janata Party
Tumkur,19,V. SOMANNA,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Karnataka,Bharatiya Janata Party
Udupi Chikmagalur,15,KOTA SRINIVAS POOJARY,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Karnataka,Bharatiya Janata Party
Uttara Kannada,12,VISHWESHWAR HEGDE KAGERI,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Karnataka,Bharatiya Janata Party
Alappuzha,15,K. C VENUGOPAL,A. M ARIFF,Communist Party of India  (Marxist),63513,Kerala,Indian National Congress
Alathur,9,K.RADHAKRISHNAN,RAMYA HARIDAS,Indian National Congress,20111,Kerala,Communist Party of India  (Marxist)
Attingal,19,ADV ADOOR PRAKASH,V JOY,Communist Party of India  (Marxist),684,Kerala,Indian National Congress
Chalakudy,11,BENNY BEHANAN,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),63754,Kerala,Indian National Congress
Ernakulam,12,HIBI EDEN,K. J. SHINE TEACHER,Communist Party of India  (Marxist),250385,Kerala,Indian National Congress
Idukki,13,ADV. DEAN KURIAKOSE,ADV. JOICE GEORGE,Communist Party of India  (Marxist),133727,Kerala,Indian National Congress
Kannur,2,K. SUDHAKARAN,M.V. JAYARAJAN,Communist Party of India  (Marxist),108982,Kerala,Indian National Congress
Kasaragod,1,RAJMOHAN UNNITHAN,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),100649,Kerala,Indian National Congress
Kollam,18,N K PREMACHANDRAN,M MUKESH,Communist Party of India  (Marxist),150302,Kerala,Revolutionary Socialist Party
Kottayam,14,ADV K FRANCIS GEORGE,THOMAS CHAZHIKADAN,Kerala Congress  (M),87266,Kerala,Kerala Congress
Kozhikode,5,M. K. RAGHAVAN,ELAMARAM KAREEM,Communist Party of India  (Marxist),146176,Kerala,Indian National Congress
Malappuram,6,E.T.  MOHAMMED BASHEER,V. VASEEF,Communist Party of India  (Marxist),300118,Kerala,Indian Union Muslim League
Mavelikkara,16,KODIKUNNIL SURESH,ADV ARUN KUMAR C A,Communist Party of India,10868,Kerala,Indian National Congress
Palakkad,8,V K SREEKANDAN,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),75283,Kerala,Indian National Congress
Pathanamthitta,17,ANTO ANTONY,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),66119,Kerala,Indian National Congress
Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,K.S HAMZA,Communist Party of India  (Marxist),235760,Kerala,Indian Union Muslim League
Thiruvananthapuram,20,SHASHI THAROOR,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Kerala,Indian National Congress
Thrissur,10,SURESH GOPI,ADV V S SUNILKUMAR,Communist Party of India,74686,Kerala,Bharatiya Janata Party
Vadakara,3,SHAFI PARAMBIL,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),114506,Kerala,Indian National Congress
Wayanad,4,RAHUL GANDHI,ANNIE RAJA,Communist Party of India,364422,Kerala,Indian National Congress
Ladakh,1,MOHMAD HANEEFA,TSERING NAMGYAL,Indian National Congress,27862,Ladakh,Independent
Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,MOHAMMED FAIZAL PP,Nationalist Congress Party - Sharadchandra Pawar,2647,Lakshadweep,Indian National Congress
